lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/UnblendedCost,lineItem/ResourceId,resourceTags/environment,resourceTags/team
7/27/2025,AmazonS3,eu-west-1,33.27,amazons3-45v9qwn47,staging,engineering
7/27/2025,AmazonCloudFront,us-west-2,38.61,amazoncloudfront-7hf48suhh,development,data
7/27/2025,AmazonRDS,us-east-1,109.31,amazonrds-iopv4i1l8,production,data
7/27/2025,AmazonCloudFront,eu-west-1,83.18,amazoncloudfront-3h3rbh24i,development,platform
7/27/2025,AmazonEC2,us-west-2,66.08,amazonec2-eb522cmdb,staging,platform
7/27/2025,AWSLambda,us-west-2,68.28,awslambda-3ih1xownc,development,platform
7/27/2025,AmazonS3,eu-west-1,64.01,amazons3-1bt1nzgr3,staging,data
7/27/2025,AmazonEC2,us-east-1,56.34,amazonec2-ec4m5aj0b,staging,data
7/28/2025,AmazonRDS,eu-west-1,43.28,amazonrds-43fn2euih,production,data
7/28/2025,AmazonCloudFront,us-east-1,56.1,amazoncloudfront-ley3pzizt,staging,platform
7/28/2025,AmazonS3,us-west-2,102,amazons3-xubn6gucf,staging,data
7/28/2025,AWSLambda,eu-west-1,98.98,awslambda-shipxg6tw,development,data
7/28/2025,AmazonRDS,us-west-2,83.63,amazonrds-xcn3k5bp8,development,platform
7/28/2025,AmazonDynamoDB,eu-west-1,49.77,amazondynamodb-4oql5sk9b,development,platform
7/28/2025,AmazonEC2,ap-southeast-1,17.02,amazonec2-mtzz2bz49,staging,engineering
7/28/2025,AmazonCloudFront,eu-west-1,76.28,amazoncloudfront-7p7038gjk,development,engineering
7/28/2025,AmazonS3,eu-west-1,51.52,amazons3-rcg2axt4d,staging,engineering
7/28/2025,AWSLambda,us-east-1,78.9,awslambda-nnrtra3yj,production,data
7/28/2025,AmazonEC2,ap-southeast-1,11.23,amazonec2-djhl97507,production,engineering
7/28/2025,AmazonRDS,us-east-1,97.63,amazonrds-hibcjuyme,production,engineering
7/28/2025,AmazonDynamoDB,us-east-1,26.7,amazondynamodb-ay65tdy0b,production,data
7/28/2025,AmazonDynamoDB,us-east-1,39.64,amazondynamodb-8i3xs9qew,staging,platform
7/28/2025,AmazonRDS,us-east-1,85.03,amazonrds-0ud5rsitl,production,engineering
7/29/2025,AmazonEC2,eu-west-1,86.3,amazonec2-s5ob907nv,staging,data
7/29/2025,AmazonDynamoDB,us-east-1,98.34,amazondynamodb-309ld6cp9,development,data
7/29/2025,AmazonDynamoDB,us-east-1,76.63,amazondynamodb-1tcbz67j4,development,platform
7/29/2025,AmazonS3,us-east-1,43.07,amazons3-9einm7hya,development,platform
7/29/2025,AWSLambda,ap-southeast-1,109.84,awslambda-ssfu01489,development,engineering
7/29/2025,AWSLambda,us-west-2,60.54,awslambda-1wxtubyr3,production,platform
7/29/2025,AWSLambda,us-west-2,22.52,awslambda-rfxu1h7gp,production,data
7/29/2025,AmazonRDS,us-west-2,20.79,amazonrds-hmssem8nc,production,platform
7/29/2025,AWSLambda,eu-west-1,41.3,awslambda-tiefiww7v,development,data
7/29/2025,AmazonRDS,us-east-1,86.56,amazonrds-v7d32gskj,staging,engineering
7/29/2025,AWSLambda,ap-southeast-1,31.4,awslambda-1oxsnyemv,development,platform
7/29/2025,AWSLambda,us-west-2,101.4,awslambda-1neozd1mk,development,data
7/29/2025,AWSLambda,eu-west-1,94.34,awslambda-xxyhv5isp,development,data
7/29/2025,AmazonCloudFront,us-west-2,57.98,amazoncloudfront-xbrowtptp,development,data
7/29/2025,AmazonS3,us-east-1,51.53,amazons3-apkd6zjrt,development,engineering
7/29/2025,AWSLambda,us-east-1,89.69,awslambda-q5twmqtxv,development,platform
7/29/2025,AmazonDynamoDB,us-east-1,44.21,amazondynamodb-tm9zy78lc,development,engineering
7/30/2025,AWSLambda,eu-west-1,49.5,awslambda-vasz839l0,production,engineering
7/30/2025,AmazonS3,us-west-2,53.62,amazons3-n4fhhpbsl,production,engineering
7/30/2025,AmazonEC2,eu-west-1,43.57,amazonec2-l26jpo7wu,development,data
7/30/2025,AWSLambda,eu-west-1,23.76,awslambda-w860c5lcb,development,platform
7/30/2025,AmazonCloudFront,us-west-2,16.26,amazoncloudfront-5u0y8bwfc,production,engineering
7/30/2025,AmazonEC2,ap-southeast-1,20.09,amazonec2-hrcdicief,development,platform
7/30/2025,AmazonRDS,us-west-2,51.77,amazonrds-516b2yvo3,staging,engineering
7/30/2025,AmazonEC2,ap-southeast-1,82.8,amazonec2-55nr6qaty,staging,data
7/30/2025,AWSLambda,us-west-2,26.21,awslambda-bwe7g10jo,staging,engineering
7/30/2025,AmazonEC2,us-east-1,14.98,amazonec2-024zbahja,development,platform
7/30/2025,AmazonDynamoDB,eu-west-1,67.6,amazondynamodb-4m5hppqsu,development,data
7/30/2025,AmazonEC2,us-west-2,105.71,amazonec2-m7kk725dh,staging,data
7/30/2025,AmazonRDS,us-west-2,97.73,amazonrds-3hhx0pv2q,production,engineering
7/30/2025,AmazonRDS,us-east-1,30.54,amazonrds-9czb0z5nj,development,engineering
7/30/2025,AmazonCloudFront,ap-southeast-1,58.08,amazoncloudfront-45v3o957d,development,data
7/30/2025,AWSLambda,us-west-2,14.23,awslambda-lxb0z5x1p,staging,platform
7/30/2025,AmazonDynamoDB,ap-southeast-1,76.47,amazondynamodb-kjhyb4yr8,staging,platform
7/30/2025,AmazonDynamoDB,us-east-1,100.51,amazondynamodb-92gzshlwf,development,engineering
7/31/2025,AWSLambda,ap-southeast-1,107.29,awslambda-k49007y20,development,platform
7/31/2025,AmazonCloudFront,ap-southeast-1,35.99,amazoncloudfront-knqphakto,production,data
7/31/2025,AWSLambda,eu-west-1,44.09,awslambda-alnw9k9sc,production,platform
7/31/2025,AmazonS3,us-east-1,47.26,amazons3-7d2fdw7sq,production,platform
7/31/2025,AmazonS3,us-west-2,84.15,amazons3-bv3j4ebkl,staging,platform
7/31/2025,AWSLambda,us-east-1,108.3,awslambda-e641grwqq,development,data
7/31/2025,AmazonDynamoDB,eu-west-1,85.91,amazondynamodb-enylsbeyk,production,platform
7/31/2025,AmazonS3,us-west-2,15.53,amazons3-r8xi8s5m6,development,engineering
7/31/2025,AmazonRDS,ap-southeast-1,107.72,amazonrds-rz36mnfka,staging,data
7/31/2025,AmazonEC2,us-east-1,46.29,amazonec2-kn3hmq5tq,staging,platform
7/31/2025,AmazonS3,eu-west-1,89.1,amazons3-zb10ex4bo,development,data
7/31/2025,AmazonCloudFront,us-west-2,27.04,amazoncloudfront-kgu2fegvb,development,data
8/1/2025,AmazonEC2,us-west-2,85.77,amazonec2-hxr1vxsg6,staging,data
8/1/2025,AmazonS3,ap-southeast-1,84,amazons3-jbnca7446,staging,engineering
8/1/2025,AWSLambda,eu-west-1,75.17,awslambda-449stjveb,staging,platform
8/1/2025,AmazonEC2,us-west-2,40.74,amazonec2-0jkhkk8nn,staging,data
8/1/2025,AmazonDynamoDB,ap-southeast-1,93.05,amazondynamodb-ugk76kmja,staging,data
8/1/2025,AmazonRDS,us-east-1,53.58,amazonrds-v71g084dl,production,data
8/1/2025,AmazonEC2,us-east-1,54.09,amazonec2-n8q604nst,development,data
8/1/2025,AmazonEC2,us-west-2,92.89,amazonec2-7bm2upw1x,production,data
8/1/2025,AmazonEC2,us-west-2,56.69,amazonec2-v09yn5kdz,staging,engineering
8/1/2025,AWSLambda,ap-southeast-1,19.54,awslambda-jumen9wlo,production,platform
8/1/2025,AmazonS3,us-east-1,20.65,amazons3-via4fmcxt,development,platform
8/1/2025,AmazonEC2,eu-west-1,55.01,amazonec2-vrqd07id1,production,data
8/1/2025,AmazonS3,eu-west-1,65.7,amazons3-hdo7nk3oz,production,data
8/1/2025,AmazonS3,eu-west-1,77.36,amazons3-dx7xyle7m,production,engineering
8/1/2025,AmazonS3,eu-west-1,20.78,amazons3-oe1fmdo6q,staging,data
8/1/2025,AWSLambda,us-east-1,50.58,awslambda-4s7h10jhl,development,platform
8/1/2025,AmazonDynamoDB,us-west-2,44.52,amazondynamodb-28uyzrnk6,staging,platform
8/2/2025,AmazonDynamoDB,us-east-1,49.84,amazondynamodb-u49grq29v,development,platform
8/2/2025,AmazonEC2,us-west-2,28.45,amazonec2-fsww2fqbl,development,engineering
8/2/2025,AmazonRDS,us-east-1,85.48,amazonrds-roajd7pk7,development,engineering
8/2/2025,AmazonRDS,eu-west-1,62.69,amazonrds-mp77myh3y,staging,platform
8/2/2025,AmazonS3,eu-west-1,40.45,amazons3-o443ty5xx,staging,data
8/2/2025,AmazonEC2,us-east-1,62.8,amazonec2-lhgmn0khs,staging,engineering
8/2/2025,AmazonDynamoDB,ap-southeast-1,60.07,amazondynamodb-gk0ccwrif,production,engineering
8/2/2025,AmazonRDS,us-west-2,15.12,amazonrds-xw6ej2zpf,development,engineering
8/2/2025,AWSLambda,us-east-1,58.73,awslambda-j8uih3dfz,production,data
8/2/2025,AmazonEC2,ap-southeast-1,109.29,amazonec2-6jehasiyi,development,platform
8/2/2025,AmazonCloudFront,ap-southeast-1,93.77,amazoncloudfront-45c2mm42c,development,data
8/2/2025,AmazonEC2,us-east-1,58.08,amazonec2-s7ug11v8m,production,engineering
8/2/2025,AmazonCloudFront,ap-southeast-1,34.07,amazoncloudfront-vcniwhmgz,staging,data
8/2/2025,AmazonEC2,ap-southeast-1,54.66,amazonec2-xvm6bqa0s,production,data
8/2/2025,AmazonDynamoDB,us-west-2,26.84,amazondynamodb-vz2wgsvah,development,platform
8/2/2025,AmazonRDS,us-west-2,90.89,amazonrds-q10d0pv7n,development,data
8/2/2025,AWSLambda,eu-west-1,95.8,awslambda-oe6u7ws35,development,platform
8/2/2025,AWSLambda,us-west-2,16.21,awslambda-l8wlba4dz,production,platform
8/2/2025,AWSLambda,eu-west-1,27.75,awslambda-7hc8nylsw,development,platform
8/3/2025,AmazonCloudFront,eu-west-1,60.91,amazoncloudfront-hyemnwf0k,staging,engineering
8/3/2025,AmazonDynamoDB,us-east-1,50.3,amazondynamodb-han5m56ts,staging,data
8/3/2025,AmazonRDS,ap-southeast-1,24.01,amazonrds-zkoarqfx8,staging,engineering
8/3/2025,AmazonRDS,us-east-1,83.68,amazonrds-fpp1n9bl6,staging,engineering
8/3/2025,AmazonDynamoDB,eu-west-1,107.4,amazondynamodb-s2hzhtnjl,development,engineering
8/3/2025,AmazonCloudFront,us-west-2,69.31,amazoncloudfront-1qafqslmp,staging,platform
8/3/2025,AmazonRDS,us-west-2,81.18,amazonrds-yl4kqae7n,production,engineering
8/3/2025,AWSLambda,eu-west-1,43.33,awslambda-cnsb480yy,development,data
8/3/2025,AWSLambda,ap-southeast-1,28.89,awslambda-i4ia2nn5g,staging,engineering
8/3/2025,AmazonS3,eu-west-1,15.8,amazons3-ii6mant8t,staging,engineering
8/3/2025,AmazonEC2,us-east-1,102.81,amazonec2-idxym4hwv,staging,engineering
8/3/2025,AmazonS3,us-west-2,52.36,amazons3-somp0x4lf,production,data
8/3/2025,AmazonS3,ap-southeast-1,68.68,amazons3-pvb170f13,staging,engineering
8/3/2025,AmazonRDS,us-west-2,77.19,amazonrds-5d4z9imww,development,engineering
8/3/2025,AmazonS3,us-west-2,12.21,amazons3-xu3e39vwo,development,engineering
8/3/2025,AmazonCloudFront,ap-southeast-1,102.31,amazoncloudfront-010rauwdx,production,platform
8/3/2025,AmazonDynamoDB,eu-west-1,99.24,amazondynamodb-avxgd4blj,development,platform
8/3/2025,AmazonCloudFront,ap-southeast-1,18.14,amazoncloudfront-c8lla3qa7,production,data
8/3/2025,AmazonEC2,us-west-2,68.81,amazonec2-wlj8xcloj,staging,platform
8/4/2025,AmazonRDS,ap-southeast-1,21.87,amazonrds-mou8oz90o,production,platform
8/4/2025,AmazonS3,ap-southeast-1,43.95,amazons3-krvzdtwo5,production,engineering
8/4/2025,AWSLambda,eu-west-1,39.44,awslambda-wqquqt1kr,development,engineering
8/4/2025,AmazonRDS,us-east-1,58.09,amazonrds-624s53nw4,development,engineering
8/4/2025,AmazonCloudFront,us-east-1,42.38,amazoncloudfront-ck5zpsk92,development,platform
8/4/2025,AmazonS3,ap-southeast-1,13,amazons3-zry1xl5oz,staging,data
8/4/2025,AmazonS3,ap-southeast-1,33.55,amazons3-2fhdgfyzn,development,platform
8/4/2025,AmazonRDS,us-east-1,35.83,amazonrds-xf0r7qw7e,development,engineering
8/4/2025,AmazonEC2,us-east-1,19.74,amazonec2-cocrpkwog,staging,data
8/4/2025,AmazonDynamoDB,ap-southeast-1,38.71,amazondynamodb-frubsbwvx,development,platform
8/4/2025,AmazonEC2,ap-southeast-1,101.39,amazonec2-0qrus8hq2,development,platform
8/4/2025,AmazonRDS,us-west-2,87.15,amazonrds-boyp5rd9k,production,platform
8/4/2025,AmazonS3,us-west-2,28.82,amazons3-8vifx3x9n,staging,data
8/4/2025,AmazonDynamoDB,us-west-2,93.87,amazondynamodb-6ulb13n08,production,engineering
8/4/2025,AmazonEC2,us-west-2,11.44,amazonec2-lv118tm1e,production,data
8/5/2025,AmazonRDS,us-east-1,45.75,amazonrds-097b7yjhf,production,data
8/5/2025,AmazonDynamoDB,eu-west-1,34.31,amazondynamodb-pfzheowkk,development,platform
8/5/2025,AmazonRDS,eu-west-1,35.02,amazonrds-raxesgass,development,data
8/5/2025,AmazonEC2,us-west-2,25.85,amazonec2-zc9kvod3b,staging,engineering
8/5/2025,AmazonCloudFront,ap-southeast-1,56.56,amazoncloudfront-5cnvfxr33,production,engineering
8/5/2025,AmazonDynamoDB,us-west-2,58.96,amazondynamodb-g91ucj0vw,development,platform
8/5/2025,AmazonS3,ap-southeast-1,96.37,amazons3-zgnzomxcd,production,data
8/5/2025,AWSLambda,ap-southeast-1,108.81,awslambda-f52bbmpb5,staging,data
8/5/2025,AmazonCloudFront,us-east-1,85.17,amazoncloudfront-jpez7rdzq,production,data
8/5/2025,AmazonEC2,us-west-2,108.37,amazonec2-e2ys7e83v,development,engineering
8/5/2025,AmazonS3,us-east-1,57.71,amazons3-5ztvcwbfw,staging,engineering
8/5/2025,AmazonCloudFront,eu-west-1,61.37,amazoncloudfront-xivresp95,production,engineering
8/5/2025,AmazonDynamoDB,us-west-2,23.47,amazondynamodb-96majxtk7,production,engineering
8/5/2025,AmazonRDS,eu-west-1,89.35,amazonrds-9w3pibzej,production,data
8/5/2025,AWSLambda,us-east-1,104.09,awslambda-k60l205qp,production,data
8/5/2025,AWSLambda,eu-west-1,94.14,awslambda-3w5i12v2r,production,engineering
8/5/2025,AmazonEC2,us-east-1,51.19,amazonec2-wijbmw7ay,staging,platform
8/6/2025,AmazonDynamoDB,us-east-1,70.56,amazondynamodb-00u2cl1vr,production,engineering
8/6/2025,AmazonRDS,us-west-2,16.62,amazonrds-vpi35oydw,development,engineering
8/6/2025,AmazonS3,us-west-2,34.89,amazons3-hwm8nmfo6,staging,engineering
8/6/2025,AWSLambda,ap-southeast-1,87.34,awslambda-ufdbxea32,staging,platform
8/6/2025,AWSLambda,ap-southeast-1,84.16,awslambda-eivg7v6o8,staging,engineering
8/6/2025,AmazonS3,us-east-1,24.81,amazons3-uhz5ot1s7,staging,engineering
8/6/2025,AmazonCloudFront,us-east-1,50.62,amazoncloudfront-t1nav3rsq,production,data
8/6/2025,AmazonCloudFront,us-west-2,20.69,amazoncloudfront-co4nbxpkz,staging,platform
8/6/2025,AmazonRDS,ap-southeast-1,76.93,amazonrds-gdcr0vx7v,development,data
8/6/2025,AmazonCloudFront,us-west-2,52.9,amazoncloudfront-l04hcrgm4,production,data
8/7/2025,AmazonCloudFront,eu-west-1,74.66,amazoncloudfront-w0g1gnhho,staging,platform
8/7/2025,AmazonEC2,ap-southeast-1,99.83,amazonec2-4ivbzp8gl,production,data
8/7/2025,AmazonDynamoDB,ap-southeast-1,95.23,amazondynamodb-pzj8dqxjn,staging,engineering
8/7/2025,AmazonS3,eu-west-1,55.34,amazons3-43tzywja9,staging,engineering
8/7/2025,AmazonDynamoDB,eu-west-1,22.68,amazondynamodb-ehjaja6qs,development,platform
8/7/2025,AmazonS3,us-east-1,66.59,amazons3-vvoz9jbfe,development,engineering
8/7/2025,AmazonEC2,eu-west-1,57.16,amazonec2-upxpbtkji,development,data
8/7/2025,AmazonDynamoDB,us-east-1,93.27,amazondynamodb-ytwg9g0g8,production,platform
8/7/2025,AWSLambda,us-east-1,74.22,awslambda-rspon4yza,development,engineering
8/7/2025,AmazonDynamoDB,ap-southeast-1,51.55,amazondynamodb-8ac1nndan,staging,data
8/8/2025,AmazonEC2,us-east-1,57.31,amazonec2-1of4pf8d5,staging,data
8/8/2025,AWSLambda,us-west-2,98.66,awslambda-4xyhaw5uh,development,engineering
8/8/2025,AmazonS3,us-west-2,73.24,amazons3-5m9gszh5q,staging,engineering
8/8/2025,AmazonEC2,eu-west-1,99.35,amazonec2-wlaehjyxu,staging,engineering
8/8/2025,AmazonDynamoDB,us-west-2,99.04,amazondynamodb-rmq917j5k,staging,engineering
8/8/2025,AmazonS3,eu-west-1,83.44,amazons3-1e1udm29y,production,data
8/8/2025,AmazonCloudFront,ap-southeast-1,101.39,amazoncloudfront-p2akwwrb5,staging,data
8/8/2025,AmazonRDS,us-east-1,74.01,amazonrds-kb7b2r6tr,development,data
8/8/2025,AmazonS3,eu-west-1,107,amazons3-pcey9x1ja,development,data
8/8/2025,AmazonRDS,us-east-1,41.24,amazonrds-0hruel94v,development,data
8/8/2025,AmazonDynamoDB,ap-southeast-1,14.58,amazondynamodb-wnrr2zi45,staging,platform
8/8/2025,AWSLambda,ap-southeast-1,79.68,awslambda-cavz2tgxp,staging,data
8/9/2025,AmazonDynamoDB,eu-west-1,67.05,amazondynamodb-tmt2bouza,development,platform
8/9/2025,AmazonCloudFront,us-west-2,66.12,amazoncloudfront-4wnbhqnlh,production,platform
8/9/2025,AmazonCloudFront,eu-west-1,66.84,amazoncloudfront-k3l2h2quq,production,platform
8/9/2025,AmazonS3,us-east-1,52.56,amazons3-9nngu6sah,production,data
8/9/2025,AmazonDynamoDB,us-east-1,54.39,amazondynamodb-7ia00r0df,development,platform
8/9/2025,AmazonCloudFront,us-east-1,33.76,amazoncloudfront-1vpl00m3f,production,engineering
8/9/2025,AmazonDynamoDB,us-east-1,58.18,amazondynamodb-esht9vriq,staging,data
8/9/2025,AmazonCloudFront,us-west-2,89.61,amazoncloudfront-y5qjaowd2,production,platform
8/9/2025,AmazonRDS,ap-southeast-1,108.34,amazonrds-0tc2uiawj,staging,engineering
8/9/2025,AmazonCloudFront,us-east-1,43.27,amazoncloudfront-7gidjmxk1,staging,engineering
8/9/2025,AmazonS3,eu-west-1,10.75,amazons3-kzamrfj9e,development,engineering
8/9/2025,AWSLambda,ap-southeast-1,20.64,awslambda-08brioist,production,data
8/9/2025,AmazonRDS,eu-west-1,16.25,amazonrds-kjy1vzfaw,staging,platform
8/10/2025,AmazonDynamoDB,ap-southeast-1,95.06,amazondynamodb-nox1k6ntz,staging,engineering
8/10/2025,AmazonRDS,ap-southeast-1,78.77,amazonrds-ziwpuzcg6,development,data
8/10/2025,AmazonEC2,eu-west-1,105.4,amazonec2-g5yitdh0h,staging,engineering
8/10/2025,AWSLambda,us-west-2,61.92,awslambda-siide6gdc,production,platform
8/10/2025,AWSLambda,us-east-1,44.5,awslambda-18p515z4r,production,engineering
8/10/2025,AmazonEC2,us-west-2,100.46,amazonec2-zi3isg1ib,production,platform
8/10/2025,AmazonRDS,us-east-1,17.92,amazonrds-ju4kcxvqg,staging,engineering
8/10/2025,AmazonS3,us-west-2,65.8,amazons3-26gwvxxfj,production,data
8/10/2025,AmazonCloudFront,us-east-1,46.52,amazoncloudfront-bb9l7wo51,development,data
8/10/2025,AWSLambda,eu-west-1,23.33,awslambda-1aho860r1,development,data
8/10/2025,AmazonEC2,eu-west-1,33.27,amazonec2-sxwx60lso,staging,engineering
8/10/2025,AmazonRDS,ap-southeast-1,30.32,amazonrds-kijs9y9lf,development,engineering
8/10/2025,AmazonDynamoDB,us-east-1,82.08,amazondynamodb-fz5147cqi,staging,platform
8/10/2025,AWSLambda,ap-southeast-1,70.04,awslambda-yuxmafv82,development,platform
8/10/2025,AmazonRDS,us-west-2,10.43,amazonrds-c1ip8d32m,development,platform
8/10/2025,AmazonEC2,eu-west-1,106.63,amazonec2-j4h8gw5hp,staging,platform
8/11/2025,AmazonCloudFront,us-west-2,56.57,amazoncloudfront-vqwqt3lwu,staging,data
8/11/2025,AmazonDynamoDB,eu-west-1,80.03,amazondynamodb-p2zbeai51,staging,data
8/11/2025,AmazonDynamoDB,us-west-2,66.22,amazondynamodb-e02x0b7xw,development,engineering
8/11/2025,AmazonRDS,us-east-1,50.93,amazonrds-rmle4phn7,development,engineering
8/11/2025,AmazonS3,ap-southeast-1,38.57,amazons3-ecf7iq7qc,staging,data
8/11/2025,AmazonCloudFront,ap-southeast-1,89.84,amazoncloudfront-cpbo2u1yd,production,data
8/11/2025,AmazonRDS,us-east-1,14.17,amazonrds-f36glw0en,production,engineering
8/11/2025,AmazonS3,us-west-2,95.16,amazons3-avqw785on,production,engineering
8/11/2025,AmazonS3,us-west-2,86.42,amazons3-9h9dkba39,staging,engineering
8/11/2025,AmazonDynamoDB,us-east-1,103.99,amazondynamodb-fw80ulj65,staging,data
8/12/2025,AmazonCloudFront,eu-west-1,57.95,amazoncloudfront-3g8t68xey,staging,platform
8/12/2025,AmazonEC2,ap-southeast-1,31.44,amazonec2-4m2p1187o,development,engineering
8/12/2025,AmazonRDS,us-west-2,105.9,amazonrds-8591qvh1f,development,data
8/12/2025,AWSLambda,us-east-1,15.58,awslambda-lmgawyjua,staging,platform
8/12/2025,AmazonDynamoDB,eu-west-1,25.9,amazondynamodb-zmsraebaj,production,engineering
8/12/2025,AmazonS3,us-west-2,92.18,amazons3-24sy4k6w2,development,data
8/12/2025,AmazonEC2,eu-west-1,20.25,amazonec2-nsdpp9d7x,development,engineering
8/12/2025,AmazonEC2,us-east-1,40.44,amazonec2-d9wt2ipq0,staging,data
8/12/2025,AmazonDynamoDB,ap-southeast-1,108.05,amazondynamodb-fgicxht2a,production,platform
8/12/2025,AmazonCloudFront,us-west-2,44.32,amazoncloudfront-dsqrvsr7r,staging,platform
8/13/2025,AmazonEC2,us-west-2,21.01,amazonec2-o7ll2qn1m,development,data
8/13/2025,AmazonEC2,eu-west-1,101.98,amazonec2-5xnp1tvxc,production,data
8/13/2025,AWSLambda,us-east-1,64.51,awslambda-qfvrq21lg,staging,data
8/13/2025,AmazonDynamoDB,eu-west-1,37.27,amazondynamodb-9ba5zalsf,production,data
8/13/2025,AmazonDynamoDB,eu-west-1,46.58,amazondynamodb-raouihevz,production,platform
8/13/2025,AWSLambda,eu-west-1,45.19,awslambda-z1l76tc51,production,platform
8/13/2025,AmazonDynamoDB,ap-southeast-1,90.11,amazondynamodb-3q6zprk90,staging,engineering
8/13/2025,AmazonEC2,eu-west-1,103.93,amazonec2-5xh4l163a,production,data
8/13/2025,AmazonEC2,ap-southeast-1,109.54,amazonec2-mw28ordn6,staging,platform
8/13/2025,AmazonRDS,eu-west-1,61.17,amazonrds-bc52behtx,staging,data
8/13/2025,AWSLambda,us-west-2,99.87,awslambda-4iuo9yvmc,staging,platform
8/13/2025,AmazonEC2,us-east-1,83.13,amazonec2-648ijkegx,development,data
8/13/2025,AmazonCloudFront,eu-west-1,32.88,amazoncloudfront-joqmxu3ym,production,data
8/13/2025,AWSLambda,eu-west-1,82.73,awslambda-7cegkcx1k,staging,data
8/13/2025,AmazonDynamoDB,eu-west-1,28.27,amazondynamodb-m0wl104ai,staging,data
